Copyright 1986-2016 Xilinx, Inc. All Rights Reserved.
-----------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2016.2 (lin64) Build 1577090 Thu Jun  2 16:32:35 MDT 2016
| Date         : Wed Nov 18 21:46:49 2020
| Host         : umma running 64-bit Ubuntu 18.04.4 LTS
| Command      : report_utilization -hierarchical -file ./Impl/TopDown/top-post-place-util.txt
| Design       : mkPcieTop
| Device       : 7vx485tffg1761-2
| Design State : Fully Placed
-----------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------------------------------------------------+-----------------------------------------------+------------+------------+---------+------+-------+--------+--------+--------------+
|                                       Instance                                      |                     Module                    | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP48 Blocks |
|       inst                                                                          |                pcie2_7x_0pcie2_7x_0_pcie2_top |       3081 |       3021 |       0 |   60 |  3739 |      4 |      0 |            0 |
|         (inst)                                                                      |                pcie2_7x_0pcie2_7x_0_pcie2_top |          0 |          0 |       0 |    0 |     0 |      0 |      0 |            0 |
|         inst                                                                        |                 pcie2_7x_0pcie2_7x_0_core_top |       3081 |       3021 |       0 |   60 |  3739 |      4 |      0 |            0 |
|           (inst)                                                                    |                 pcie2_7x_0pcie2_7x_0_core_top |          8 |          4 |       0 |    4 |    11 |      0 |      0 |            0 |
|           gt_top_i                                                                  |                   pcie2_7x_0pcie2_7x_0_gt_top |       2828 |       2772 |       0 |   56 |  2854 |      0 |      0 |            0 |
|             (gt_top_i)                                                              |                   pcie2_7x_0pcie2_7x_0_gt_top |         11 |         11 |       0 |    0 |     8 |      0 |      0 |            0 |
|             gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst                        |    pcie2_7x_0pcie2_7x_0_gt_rx_valid_filter_7x |         19 |         19 |       0 |    0 |    30 |      0 |      0 |            0 |
|             gt_rx_valid_filter[1].GT_RX_VALID_FILTER_7x_inst                        | pcie2_7x_0pcie2_7x_0_gt_rx_valid_filter_7x_14 |         20 |         20 |       0 |    0 |    30 |      0 |      0 |            0 |
|             gt_rx_valid_filter[2].GT_RX_VALID_FILTER_7x_inst                        | pcie2_7x_0pcie2_7x_0_gt_rx_valid_filter_7x_15 |         19 |         19 |       0 |    0 |    30 |      0 |      0 |            0 |
|             gt_rx_valid_filter[3].GT_RX_VALID_FILTER_7x_inst                        | pcie2_7x_0pcie2_7x_0_gt_rx_valid_filter_7x_16 |         19 |         19 |       0 |    0 |    30 |      0 |      0 |            0 |
|             gt_rx_valid_filter[4].GT_RX_VALID_FILTER_7x_inst                        | pcie2_7x_0pcie2_7x_0_gt_rx_valid_filter_7x_17 |         19 |         19 |       0 |    0 |    30 |      0 |      0 |            0 |
|             gt_rx_valid_filter[5].GT_RX_VALID_FILTER_7x_inst                        | pcie2_7x_0pcie2_7x_0_gt_rx_valid_filter_7x_18 |         19 |         19 |       0 |    0 |    30 |      0 |      0 |            0 |
|             gt_rx_valid_filter[6].GT_RX_VALID_FILTER_7x_inst                        | pcie2_7x_0pcie2_7x_0_gt_rx_valid_filter_7x_19 |         19 |         19 |       0 |    0 |    30 |      0 |      0 |            0 |
|             gt_rx_valid_filter[7].GT_RX_VALID_FILTER_7x_inst                        | pcie2_7x_0pcie2_7x_0_gt_rx_valid_filter_7x_20 |         18 |         18 |       0 |    0 |    30 |      0 |      0 |            0 |
|             pipe_wrapper_i                                                          |             pcie2_7x_0pcie2_7x_0_pipe_wrapper |       2665 |       2609 |       0 |   56 |  2606 |      0 |      0 |            0 |
|               (pipe_wrapper_i)                                                      |             pcie2_7x_0pcie2_7x_0_pipe_wrapper |          6 |          6 |       0 |    0 |     2 |      0 |      0 |            0 |
|               pipe_clock_int.pipe_clock_i                                           |               pcie2_7x_0pcie2_7x_0_pipe_clock |          6 |          6 |       0 |    0 |    17 |      0 |      0 |            0 |
|               pipe_lane[0].gt_wrapper_i                                             |               pcie2_7x_0pcie2_7x_0_gt_wrapper |         10 |          3 |       0 |    7 |     2 |      0 |      0 |            0 |
|                 (pipe_lane[0].gt_wrapper_i)                                         |               pcie2_7x_0pcie2_7x_0_gt_wrapper |          2 |          2 |       0 |    0 |     0 |      0 |      0 |            0 |
|                 cpllPDInst                                                          |       pcie2_7x_0pcie2_7x_0_gtx_cpllpd_ovrd_79 |          8 |          1 |       0 |    7 |     2 |      0 |      0 |            0 |
|               pipe_lane[0].pipe_drp.pipe_drp_i                                      |                 pcie2_7x_0pcie2_7x_0_pipe_drp |         88 |         88 |       0 |    0 |    74 |      0 |      0 |            0 |
|               pipe_lane[0].pipe_eq.pipe_eq_i                                        |                  pcie2_7x_0pcie2_7x_0_pipe_eq |        115 |        115 |       0 |    0 |    81 |      0 |      0 |            0 |
|                 (pipe_lane[0].pipe_eq.pipe_eq_i)                                    |                  pcie2_7x_0pcie2_7x_0_pipe_eq |         62 |         62 |       0 |    0 |    47 |      0 |      0 |            0 |
|                 rxeq_scan_i                                                         |             pcie2_7x_0pcie2_7x_0_rxeq_scan_78 |         53 |         53 |       0 |    0 |    34 |      0 |      0 |            0 |
|               pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i    |                pcie2_7x_0pcie2_7x_0_gt_common |         57 |         57 |       0 |    0 |    76 |      0 |      0 |            0 |
|                 qpll_drp_i                                                          |              pcie2_7x_0pcie2_7x_0_qpll_drp_76 |         57 |         57 |       0 |    0 |    76 |      0 |      0 |            0 |
|                 qpll_wrapper_i                                                      |          pcie2_7x_0pcie2_7x_0_qpll_wrapper_77 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |            0 |
|               pipe_lane[0].pipe_rate.pipe_rate_i                                    |                pcie2_7x_0pcie2_7x_0_pipe_rate |         62 |         62 |       0 |    0 |    50 |      0 |      0 |            0 |
|               pipe_lane[0].pipe_sync_i                                              |                pcie2_7x_0pcie2_7x_0_pipe_sync |         14 |         14 |       0 |    0 |    21 |      0 |      0 |            0 |
|               pipe_lane[0].pipe_user_i                                              |                pcie2_7x_0pcie2_7x_0_pipe_user |         24 |         24 |       0 |    0 |    56 |      0 |      0 |            0 |
|               pipe_lane[1].gt_wrapper_i                                             |            pcie2_7x_0pcie2_7x_0_gt_wrapper_21 |         10 |          3 |       0 |    7 |     2 |      0 |      0 |            0 |
|                 (pipe_lane[1].gt_wrapper_i)                                         |            pcie2_7x_0pcie2_7x_0_gt_wrapper_21 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |            0 |
|                 cpllPDInst                                                          |       pcie2_7x_0pcie2_7x_0_gtx_cpllpd_ovrd_75 |          8 |          1 |       0 |    7 |     2 |      0 |      0 |            0 |
|               pipe_lane[1].pipe_drp.pipe_drp_i                                      |              pcie2_7x_0pcie2_7x_0_pipe_drp_22 |         87 |         87 |       0 |    0 |    74 |      0 |      0 |            0 |
|               pipe_lane[1].pipe_eq.pipe_eq_i                                        |               pcie2_7x_0pcie2_7x_0_pipe_eq_23 |        116 |        116 |       0 |    0 |    81 |      0 |      0 |            0 |
|                 (pipe_lane[1].pipe_eq.pipe_eq_i)                                    |               pcie2_7x_0pcie2_7x_0_pipe_eq_23 |         62 |         62 |       0 |    0 |    47 |      0 |      0 |            0 |
|                 rxeq_scan_i                                                         |             pcie2_7x_0pcie2_7x_0_rxeq_scan_74 |         54 |         54 |       0 |    0 |    34 |      0 |      0 |            0 |
|               pipe_lane[1].pipe_rate.pipe_rate_i                                    |             pcie2_7x_0pcie2_7x_0_pipe_rate_24 |         62 |         62 |       0 |    0 |    50 |      0 |      0 |            0 |
|               pipe_lane[1].pipe_sync_i                                              |             pcie2_7x_0pcie2_7x_0_pipe_sync_25 |         12 |         12 |       0 |    0 |    20 |      0 |      0 |            0 |
|               pipe_lane[1].pipe_user_i                                              |             pcie2_7x_0pcie2_7x_0_pipe_user_26 |         24 |         24 |       0 |    0 |    56 |      0 |      0 |            0 |
|               pipe_lane[2].gt_wrapper_i                                             |            pcie2_7x_0pcie2_7x_0_gt_wrapper_27 |         10 |          3 |       0 |    7 |     2 |      0 |      0 |            0 |
|                 (pipe_lane[2].gt_wrapper_i)                                         |            pcie2_7x_0pcie2_7x_0_gt_wrapper_27 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |            0 |
|                 cpllPDInst                                                          |       pcie2_7x_0pcie2_7x_0_gtx_cpllpd_ovrd_73 |          8 |          1 |       0 |    7 |     2 |      0 |      0 |            0 |
|               pipe_lane[2].pipe_drp.pipe_drp_i                                      |              pcie2_7x_0pcie2_7x_0_pipe_drp_28 |         88 |         88 |       0 |    0 |    74 |      0 |      0 |            0 |
|               pipe_lane[2].pipe_eq.pipe_eq_i                                        |               pcie2_7x_0pcie2_7x_0_pipe_eq_29 |        117 |        117 |       0 |    0 |    81 |      0 |      0 |            0 |
|                 (pipe_lane[2].pipe_eq.pipe_eq_i)                                    |               pcie2_7x_0pcie2_7x_0_pipe_eq_29 |         63 |         63 |       0 |    0 |    47 |      0 |      0 |            0 |
|                 rxeq_scan_i                                                         |             pcie2_7x_0pcie2_7x_0_rxeq_scan_72 |         54 |         54 |       0 |    0 |    34 |      0 |      0 |            0 |
|               pipe_lane[2].pipe_rate.pipe_rate_i                                    |             pcie2_7x_0pcie2_7x_0_pipe_rate_30 |         62 |         62 |       0 |    0 |    50 |      0 |      0 |            0 |
|               pipe_lane[2].pipe_sync_i                                              |             pcie2_7x_0pcie2_7x_0_pipe_sync_31 |         12 |         12 |       0 |    0 |    20 |      0 |      0 |            0 |
|               pipe_lane[2].pipe_user_i                                              |             pcie2_7x_0pcie2_7x_0_pipe_user_32 |         23 |         23 |       0 |    0 |    56 |      0 |      0 |            0 |
|               pipe_lane[3].gt_wrapper_i                                             |            pcie2_7x_0pcie2_7x_0_gt_wrapper_33 |         10 |          3 |       0 |    7 |     2 |      0 |      0 |            0 |
|                 (pipe_lane[3].gt_wrapper_i)                                         |            pcie2_7x_0pcie2_7x_0_gt_wrapper_33 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |            0 |
|                 cpllPDInst                                                          |       pcie2_7x_0pcie2_7x_0_gtx_cpllpd_ovrd_71 |          8 |          1 |       0 |    7 |     2 |      0 |      0 |            0 |
|               pipe_lane[3].pipe_drp.pipe_drp_i                                      |              pcie2_7x_0pcie2_7x_0_pipe_drp_34 |         87 |         87 |       0 |    0 |    74 |      0 |      0 |            0 |
|               pipe_lane[3].pipe_eq.pipe_eq_i                                        |               pcie2_7x_0pcie2_7x_0_pipe_eq_35 |        115 |        115 |       0 |    0 |    81 |      0 |      0 |            0 |
|                 (pipe_lane[3].pipe_eq.pipe_eq_i)                                    |               pcie2_7x_0pcie2_7x_0_pipe_eq_35 |         62 |         62 |       0 |    0 |    47 |      0 |      0 |            0 |
|                 rxeq_scan_i                                                         |             pcie2_7x_0pcie2_7x_0_rxeq_scan_70 |         53 |         53 |       0 |    0 |    34 |      0 |      0 |            0 |
|               pipe_lane[3].pipe_rate.pipe_rate_i                                    |             pcie2_7x_0pcie2_7x_0_pipe_rate_36 |         61 |         61 |       0 |    0 |    50 |      0 |      0 |            0 |
|               pipe_lane[3].pipe_sync_i                                              |             pcie2_7x_0pcie2_7x_0_pipe_sync_37 |         12 |         12 |       0 |    0 |    20 |      0 |      0 |            0 |
|               pipe_lane[3].pipe_user_i                                              |             pcie2_7x_0pcie2_7x_0_pipe_user_38 |         22 |         22 |       0 |    0 |    56 |      0 |      0 |            0 |
|               pipe_lane[4].gt_wrapper_i                                             |            pcie2_7x_0pcie2_7x_0_gt_wrapper_39 |         10 |          3 |       0 |    7 |     2 |      0 |      0 |            0 |
|                 (pipe_lane[4].gt_wrapper_i)                                         |            pcie2_7x_0pcie2_7x_0_gt_wrapper_39 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |            0 |
|                 cpllPDInst                                                          |       pcie2_7x_0pcie2_7x_0_gtx_cpllpd_ovrd_69 |          8 |          1 |       0 |    7 |     2 |      0 |      0 |            0 |
|               pipe_lane[4].pipe_drp.pipe_drp_i                                      |              pcie2_7x_0pcie2_7x_0_pipe_drp_40 |         88 |         88 |       0 |    0 |    74 |      0 |      0 |            0 |
|               pipe_lane[4].pipe_eq.pipe_eq_i                                        |               pcie2_7x_0pcie2_7x_0_pipe_eq_41 |        116 |        116 |       0 |    0 |    81 |      0 |      0 |            0 |
|                 (pipe_lane[4].pipe_eq.pipe_eq_i)                                    |               pcie2_7x_0pcie2_7x_0_pipe_eq_41 |         62 |         62 |       0 |    0 |    47 |      0 |      0 |            0 |
|                 rxeq_scan_i                                                         |             pcie2_7x_0pcie2_7x_0_rxeq_scan_68 |         54 |         54 |       0 |    0 |    34 |      0 |      0 |            0 |
|               pipe_lane[4].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i    |             pcie2_7x_0pcie2_7x_0_gt_common_42 |         57 |         57 |       0 |    0 |    76 |      0 |      0 |            0 |
|                 qpll_drp_i                                                          |                 pcie2_7x_0pcie2_7x_0_qpll_drp |         57 |         57 |       0 |    0 |    76 |      0 |      0 |            0 |
|                 qpll_wrapper_i                                                      |             pcie2_7x_0pcie2_7x_0_qpll_wrapper |          0 |          0 |       0 |    0 |     0 |      0 |      0 |            0 |
|               pipe_lane[4].pipe_rate.pipe_rate_i                                    |             pcie2_7x_0pcie2_7x_0_pipe_rate_43 |         61 |         61 |       0 |    0 |    50 |      0 |      0 |            0 |
|               pipe_lane[4].pipe_sync_i                                              |             pcie2_7x_0pcie2_7x_0_pipe_sync_44 |         12 |         12 |       0 |    0 |    20 |      0 |      0 |            0 |
|               pipe_lane[4].pipe_user_i                                              |             pcie2_7x_0pcie2_7x_0_pipe_user_45 |         22 |         22 |       0 |    0 |    56 |      0 |      0 |            0 |
|               pipe_lane[5].gt_wrapper_i                                             |            pcie2_7x_0pcie2_7x_0_gt_wrapper_46 |         10 |          3 |       0 |    7 |     2 |      0 |      0 |            0 |
|                 (pipe_lane[5].gt_wrapper_i)                                         |            pcie2_7x_0pcie2_7x_0_gt_wrapper_46 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |            0 |
|                 cpllPDInst                                                          |       pcie2_7x_0pcie2_7x_0_gtx_cpllpd_ovrd_67 |          8 |          1 |       0 |    7 |     2 |      0 |      0 |            0 |
|               pipe_lane[5].pipe_drp.pipe_drp_i                                      |              pcie2_7x_0pcie2_7x_0_pipe_drp_47 |         87 |         87 |       0 |    0 |    74 |      0 |      0 |            0 |
|               pipe_lane[5].pipe_eq.pipe_eq_i                                        |               pcie2_7x_0pcie2_7x_0_pipe_eq_48 |        115 |        115 |       0 |    0 |    81 |      0 |      0 |            0 |
|                 (pipe_lane[5].pipe_eq.pipe_eq_i)                                    |               pcie2_7x_0pcie2_7x_0_pipe_eq_48 |         62 |         62 |       0 |    0 |    47 |      0 |      0 |            0 |
|                 rxeq_scan_i                                                         |             pcie2_7x_0pcie2_7x_0_rxeq_scan_66 |         53 |         53 |       0 |    0 |    34 |      0 |      0 |            0 |
|               pipe_lane[5].pipe_rate.pipe_rate_i                                    |             pcie2_7x_0pcie2_7x_0_pipe_rate_49 |         62 |         62 |       0 |    0 |    50 |      0 |      0 |            0 |
|               pipe_lane[5].pipe_sync_i                                              |             pcie2_7x_0pcie2_7x_0_pipe_sync_50 |         12 |         12 |       0 |    0 |    20 |      0 |      0 |            0 |
|               pipe_lane[5].pipe_user_i                                              |             pcie2_7x_0pcie2_7x_0_pipe_user_51 |         23 |         23 |       0 |    0 |    56 |      0 |      0 |            0 |
|               pipe_lane[6].gt_wrapper_i                                             |            pcie2_7x_0pcie2_7x_0_gt_wrapper_52 |         10 |          3 |       0 |    7 |     2 |      0 |      0 |            0 |
|                 (pipe_lane[6].gt_wrapper_i)                                         |            pcie2_7x_0pcie2_7x_0_gt_wrapper_52 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |            0 |
|                 cpllPDInst                                                          |       pcie2_7x_0pcie2_7x_0_gtx_cpllpd_ovrd_65 |          8 |          1 |       0 |    7 |     2 |      0 |      0 |            0 |
|               pipe_lane[6].pipe_drp.pipe_drp_i                                      |              pcie2_7x_0pcie2_7x_0_pipe_drp_53 |         88 |         88 |       0 |    0 |    74 |      0 |      0 |            0 |
|               pipe_lane[6].pipe_eq.pipe_eq_i                                        |               pcie2_7x_0pcie2_7x_0_pipe_eq_54 |        117 |        117 |       0 |    0 |    81 |      0 |      0 |            0 |
|                 (pipe_lane[6].pipe_eq.pipe_eq_i)                                    |               pcie2_7x_0pcie2_7x_0_pipe_eq_54 |         63 |         63 |       0 |    0 |    47 |      0 |      0 |            0 |
|                 rxeq_scan_i                                                         |             pcie2_7x_0pcie2_7x_0_rxeq_scan_64 |         54 |         54 |       0 |    0 |    34 |      0 |      0 |            0 |
|               pipe_lane[6].pipe_rate.pipe_rate_i                                    |             pcie2_7x_0pcie2_7x_0_pipe_rate_55 |         62 |         62 |       0 |    0 |    50 |      0 |      0 |            0 |
|               pipe_lane[6].pipe_sync_i                                              |             pcie2_7x_0pcie2_7x_0_pipe_sync_56 |         12 |         12 |       0 |    0 |    20 |      0 |      0 |            0 |
|               pipe_lane[6].pipe_user_i                                              |             pcie2_7x_0pcie2_7x_0_pipe_user_57 |         22 |         22 |       0 |    0 |    56 |      0 |      0 |            0 |
|               pipe_lane[7].gt_wrapper_i                                             |            pcie2_7x_0pcie2_7x_0_gt_wrapper_58 |         10 |          3 |       0 |    7 |     2 |      0 |      0 |            0 |
|                 (pipe_lane[7].gt_wrapper_i)                                         |            pcie2_7x_0pcie2_7x_0_gt_wrapper_58 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |            0 |
|                 cpllPDInst                                                          |          pcie2_7x_0pcie2_7x_0_gtx_cpllpd_ovrd |          8 |          1 |       0 |    7 |     2 |      0 |      0 |            0 |
|               pipe_lane[7].pipe_drp.pipe_drp_i                                      |              pcie2_7x_0pcie2_7x_0_pipe_drp_59 |         88 |         88 |       0 |    0 |    74 |      0 |      0 |            0 |
|               pipe_lane[7].pipe_eq.pipe_eq_i                                        |               pcie2_7x_0pcie2_7x_0_pipe_eq_60 |        116 |        116 |       0 |    0 |    81 |      0 |      0 |            0 |
|                 (pipe_lane[7].pipe_eq.pipe_eq_i)                                    |               pcie2_7x_0pcie2_7x_0_pipe_eq_60 |         62 |         62 |       0 |    0 |    47 |      0 |      0 |            0 |
|                 rxeq_scan_i                                                         |                pcie2_7x_0pcie2_7x_0_rxeq_scan |         54 |         54 |       0 |    0 |    34 |      0 |      0 |            0 |
|               pipe_lane[7].pipe_rate.pipe_rate_i                                    |             pcie2_7x_0pcie2_7x_0_pipe_rate_61 |         62 |         62 |       0 |    0 |    50 |      0 |      0 |            0 |
|               pipe_lane[7].pipe_sync_i                                              |             pcie2_7x_0pcie2_7x_0_pipe_sync_62 |         12 |         12 |       0 |    0 |    20 |      0 |      0 |            0 |
|               pipe_lane[7].pipe_user_i                                              |             pcie2_7x_0pcie2_7x_0_pipe_user_63 |         25 |         25 |       0 |    0 |    56 |      0 |      0 |            0 |
|               pipe_reset.pipe_reset_i                                               |               pcie2_7x_0pcie2_7x_0_pipe_reset |         52 |         52 |       0 |    0 |   107 |      0 |      0 |            0 |
|               qpll_reset.qpll_reset_i                                               |               pcie2_7x_0pcie2_7x_0_qpll_reset |         17 |         17 |       0 |    0 |    63 |      0 |      0 |            0 |
|           pcie_top_i                                                                |                 pcie2_7x_0pcie2_7x_0_pcie_top |        245 |        245 |       0 |    0 |   870 |      4 |      0 |            0 |
|             (pcie_top_i)                                                            |                 pcie2_7x_0pcie2_7x_0_pcie_top |          1 |          1 |       0 |    0 |    16 |      0 |      0 |            0 |
|             axi_basic_top                                                           |            pcie2_7x_0pcie2_7x_0_axi_basic_top |        232 |        232 |       0 |    0 |   464 |      0 |      0 |            0 |
|               rx_inst                                                               |             pcie2_7x_0pcie2_7x_0_axi_basic_rx |        204 |        204 |       0 |    0 |   298 |      0 |      0 |            0 |
|                 rx_null_gen_inst                                                    |    pcie2_7x_0pcie2_7x_0_axi_basic_rx_null_gen |         31 |         31 |       0 |    0 |    13 |      0 |      0 |            0 |
|                 rx_pipeline_inst                                                    |    pcie2_7x_0pcie2_7x_0_axi_basic_rx_pipeline |        173 |        173 |       0 |    0 |   285 |      0 |      0 |            0 |
|               tx_inst                                                               |             pcie2_7x_0pcie2_7x_0_axi_basic_tx |         28 |         28 |       0 |    0 |   166 |      0 |      0 |            0 |
|                 thrtl_ctl_enabled.tx_thrl_ctl_inst                                  |   pcie2_7x_0pcie2_7x_0_axi_basic_tx_thrtl_ctl |         22 |         22 |       0 |    0 |    29 |      0 |      0 |            0 |
|                 tx_pipeline_inst                                                    |    pcie2_7x_0pcie2_7x_0_axi_basic_tx_pipeline |          6 |          6 |       0 |    0 |   137 |      0 |      0 |            0 |
|             pcie_7x_i                                                               |                  pcie2_7x_0pcie2_7x_0_pcie_7x |         12 |         12 |       0 |    0 |     0 |      4 |      0 |            0 |
|               (pcie_7x_i)                                                           |                  pcie2_7x_0pcie2_7x_0_pcie_7x |         12 |         12 |       0 |    0 |     0 |      0 |      0 |            0 |
|               pcie_bram_top                                                         |         pcie2_7x_0pcie2_7x_0_pcie_bram_top_7x |          0 |          0 |       0 |    0 |     0 |      4 |      0 |            0 |
|                 pcie_brams_rx                                                       |            pcie2_7x_0pcie2_7x_0_pcie_brams_7x |          0 |          0 |       0 |    0 |     0 |      2 |      0 |            0 |
|                   brams[0].ram                                                      |          pcie2_7x_0pcie2_7x_0_pcie_bram_7x_10 |          0 |          0 |       0 |    0 |     0 |      1 |      0 |            0 |
|                     use_sdp.ramb36sdp                                               |                   pcie2_7x_0BRAM_SDP_MACRO_13 |          0 |          0 |       0 |    0 |     0 |      1 |      0 |            0 |
|                   brams[1].ram                                                      |          pcie2_7x_0pcie2_7x_0_pcie_bram_7x_11 |          0 |          0 |       0 |    0 |     0 |      1 |      0 |            0 |
|                     use_sdp.ramb36sdp                                               |                   pcie2_7x_0BRAM_SDP_MACRO_12 |          0 |          0 |       0 |    0 |     0 |      1 |      0 |            0 |
|                 pcie_brams_tx                                                       |          pcie2_7x_0pcie2_7x_0_pcie_brams_7x_7 |          0 |          0 |       0 |    0 |     0 |      2 |      0 |            0 |
|                   brams[0].ram                                                      |             pcie2_7x_0pcie2_7x_0_pcie_bram_7x |          0 |          0 |       0 |    0 |     0 |      1 |      0 |            0 |
|                     use_sdp.ramb36sdp                                               |                    pcie2_7x_0BRAM_SDP_MACRO_9 |          0 |          0 |       0 |    0 |     0 |      1 |      0 |            0 |
|                   brams[1].ram                                                      |           pcie2_7x_0pcie2_7x_0_pcie_bram_7x_8 |          0 |          0 |       0 |    0 |     0 |      1 |      0 |            0 |
|                     use_sdp.ramb36sdp                                               |                      pcie2_7x_0BRAM_SDP_MACRO |          0 |          0 |       0 |    0 |     0 |      1 |      0 |            0 |
|             pcie_pipe_pipeline_i                                                    |       pcie2_7x_0pcie2_7x_0_pcie_pipe_pipeline |          0 |          0 |       0 |    0 |   390 |      0 |      0 |            0 |
|               pipe_2_lane.pipe_lane_1_i                                             |           pcie2_7x_0pcie2_7x_0_pcie_pipe_lane |          0 |          0 |       0 |    0 |    48 |      0 |      0 |            0 |
|               pipe_4_lane.pipe_lane_2_i                                             |         pcie2_7x_0pcie2_7x_0_pcie_pipe_lane_0 |          0 |          0 |       0 |    0 |    48 |      0 |      0 |            0 |
|               pipe_4_lane.pipe_lane_3_i                                             |         pcie2_7x_0pcie2_7x_0_pcie_pipe_lane_1 |          0 |          0 |       0 |    0 |    48 |      0 |      0 |            0 |
|               pipe_8_lane.pipe_lane_4_i                                             |         pcie2_7x_0pcie2_7x_0_pcie_pipe_lane_2 |          0 |          0 |       0 |    0 |    48 |      0 |      0 |            0 |
|               pipe_8_lane.pipe_lane_5_i                                             |         pcie2_7x_0pcie2_7x_0_pcie_pipe_lane_3 |          0 |          0 |       0 |    0 |    48 |      0 |      0 |            0 |
|               pipe_8_lane.pipe_lane_6_i                                             |         pcie2_7x_0pcie2_7x_0_pcie_pipe_lane_4 |          0 |          0 |       0 |    0 |    48 |      0 |      0 |            0 |
|               pipe_8_lane.pipe_lane_7_i                                             |         pcie2_7x_0pcie2_7x_0_pcie_pipe_lane_5 |          0 |          0 |       0 |    0 |    48 |      0 |      0 |            0 |
|               pipe_lane_0_i                                                         |         pcie2_7x_0pcie2_7x_0_pcie_pipe_lane_6 |          0 |          0 |       0 |    0 |    48 |      0 |      0 |            0 |
|               pipe_misc_i                                                           |           pcie2_7x_0pcie2_7x_0_pcie_pipe_misc |          0 |          0 |       0 |    0 |     6 |      0 |      0 |            0 |
|           phy_lnk_up_cdc                                                            |                   pcie2_7x_0xpm_cdc_single__1 |          0 |          0 |       0 |    0 |     2 |      0 |      0 |            0 |
|           pl_received_hot_rst_cdc                                                   |                      pcie2_7x_0xpm_cdc_single |          0 |          0 |       0 |    0 |     2 |      0 |      0 |            0 |
|     portalReset                                                                     |                                   SyncReset_5 |         83 |         83 |       0 |    0 |     9 |      0 |      0 |            0 |
|   host_pcieHostTop_pciehost_arbiter                                                 |                                  mkTLPArbiter |       1288 |       1288 |       0 |    0 |  1533 |      0 |      0 |            0 |
|     (host_pcieHostTop_pciehost_arbiter)                                             |                                  mkTLPArbiter |          0 |          0 |       0 |    0 |     3 |      0 |      0 |            0 |
|     tlp_in_fifo_0                                                                   |                         FIFO2__parameterized2 |        321 |        321 |       0 |    0 |   308 |      0 |      0 |            0 |
